SampleID	CollectionDate	Subj_Certainty	Subject	n_16s_extract	n_16s_sample	ExtractID	ExtractDate	ExtractConc	ExtractedBy	ExtractKit	ExtractBox	ExtractNotes
HDZ-196	2024-02-05	yes	Culi	1	1	HDZ-196-E1	2024-05-20	33	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-197	2024-02-04	yes	Culi	1	1	HDZ-197-E1	2024-05-20	58	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-198	2024-02-08	yes	Culi	1	1	HDZ-198-E1	2024-05-20	70	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-199	2024-02-06	yes	Warble	1	1	HDZ-199-E1	2024-05-20	52	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-200	2024-02-03	yes	Warble	1	1	HDZ-200-E1	2024-05-30	36	SA/ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-201	2024-02-03	yes	Culi	1	1	HDZ-201-E1	2024-05-30	100	SA/ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-202	2024-01-27	yes	Culi	1	1	HDZ-202-E1	2024-05-30	100	SA/ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-203	2024-01-26	yes	Culi	1	1	HDZ-203-E1	2024-06-13	70	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-204	2024-01-29	yes	Culi	1	1	HDZ-204-E1	2024-06-13	43	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-205	2024-01-29	yes	Warble	1	1	HDZ-205-E1	2024-06-13	21	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-206	2024-01-30	no	Unknown	1	1	HDZ-206-E1	2024-06-13	48	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-207	2024-01-27	yes	Warble	1	1	HDZ-207-E1	2024-06-13	12	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-208	2024-01-30	yes	Warble	1	1	HDZ-208-E1	2024-06-13	11	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-209	2024-01-26	yes	Warble	1	1	HDZ-209-E1	2024-06-06	40	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-210	2024-03-14	yes	Warble	1	1	HDZ-210-E1	2024-06-06	38	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-211	2024-03-22	yes	Culi	1	1	HDZ-211-E1	2024-06-06	24	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-212	2024-03-27	yes	Warble	1	1	HDZ-212-E1	2024-06-06	42	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-213	2024-03-31	no	Unknown	1	1	HDZ-213-E1	2024-06-14	31	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-214	2024-06-02	yes	Warble	1	1	HDZ-214-E1	2024-07-26	43	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-215	2024-03-27	yes	Culi	1	1	HDZ-215-E1	2024-06-14	11	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-217	2024-03-26	yes	Warble	1	1	HDZ-217-E1	2024-05-02	72	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-218	2024-03-21	yes	Warble	1	1	HDZ-218-E1	2024-05-02	58	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-219	2024-03-16	yes	Culi	1	1	HDZ-219-E1	2024-05-02	37	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-220	2024-03-17	yes	Culi	1	1	HDZ-220-E1	2024-05-02	42	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-221	2024-03-14	yes	Culi	1	1	HDZ-221-E1	2024-05-02	76	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-222	2024-03-02	yes	Culi	1	1	HDZ-222-E1	2024-06-06	8.5	SA/ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-223	2024-03-25	yes	Warble	1	1	HDZ-223-E1	2024-06-20	77	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-224	2024-03-25	yes	Culi	1	1	HDZ-224-E1	2024-06-20	66	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-226	2024-03-30	yes	Culi	1	1	HDZ-226-E1	2024-06-20	42	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-227	2024-03-29	yes	Culi	1	1	HDZ-227-E1	2024-06-27	44	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-228	2024-03-27	yes	Warble	1	1	HDZ-228-E1	2024-06-27	67	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-229	2024-03-21	yes	Culi	1	1	HDZ-229-E1	2024-06-27	96	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-230	2024-03-01	yes	Culi	1	1	HDZ-230-E1	2024-08-23	28	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 5	
HDZ-231	2024-02-29	yes	Culi	1	1	HDZ-231-E1	2024-08-23	33	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 5	
HDZ-232	2024-02-28	yes	Warble	1	1	HDZ-232-E1	2024-08-23	28	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 5	
HDZ-233	2024-02-28	yes	Culi	1	1	HDZ-233-E1	2024-08-23	35	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 5	
HDZ-234	2024-02-07	yes	Warble	1	1	HDZ-234-E1	2024-08-23	72	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 5	
HDZ-235	2024-02-07	yes	Culi	1	1	HDZ-235-E1	2024-08-23	41	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 5	
HDZ-236	2024-02-27	yes	Culi	1	1	HDZ-236-E1	2024-08-23	49	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 5	
HDZ-237	2024-02-08	yes	Warble	1	1	HDZ-237-E1	2024-08-26	54	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6	
HDZ-238	2024-02-06	yes	Culi	1	1	HDZ-238-E1	2024-08-26	81	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6	
HDZ-239	2024-02-05	yes	Warble	1	1	HDZ-239-E1	2024-08-26	39	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6	
HDZ-240	2024-01-20	yes	Culi	1	1	HDZ-240-E1	2024-07-10	36	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-241	2024-02-23	yes	Culi	1	1	HDZ-241-E1	2024-07-10	53	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-242	2024-02-23	yes	Warble	1	1	HDZ-242-E1	2024-07-10	46	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-243	2024-02-26	yes	Culi	1	1	HDZ-243-E1	2024-07-10	100	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-244	2024-02-27	yes	Warble	1	1	HDZ-244-E1	2024-07-10	62	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-245	2024-01-16	yes	Culi	1	1	HDZ-245-E1	2024-07-10	42	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-246	2024-01-18	yes	Warble	1	1	HDZ-246-E1	2024-07-10	29	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-247	2024-01-20	yes	Warble	1	1	HDZ-247-E1	2024-07-10	39	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-248	2024-01-21	yes	Warble	1	1	HDZ-248-E1	2024-07-10	42	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-249	2024-01-19	yes	Culi	1	1	HDZ-249-E1	2024-07-10	34	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-250	2024-01-21	yes	Culi	1	1	HDZ-250-E1	2024-07-10	38	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-251	2024-01-16	yes	Warble	1	1	HDZ-251-E1	2024-07-10	45	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-252	2024-01-18	yes	Culi	1	1	HDZ-252-E1	2024-07-10	57	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-253	2024-01-17	yes	Culi	1	1	HDZ-253-E1	2024-07-10	32	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-254	2024-02-02	yes	Culi	1	1	HDZ-254-E1	2024-07-10	41	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-255	2024-01-15	yes	Warble	0	0	HDZ-255-E1	2024-07-18	34	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	Possibly contaminated
HDZ-256	2024-01-13	yes	Culi	0	0	HDZ-256-E1	2024-07-18	35	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	Possibly contaminated
HDZ-257	2024-01-09	yes	Warble	0	0	HDZ-257-E1	2024-07-18	26	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	Possibly contaminated
HDZ-258	2024-01-10	yes	Culi	1	1	HDZ-258-E1	2024-07-12	37	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-259	2024-01-13	yes	Warble	1	1	HDZ-259-E1	2024-07-12	52	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-260	2024-01-28	yes	Warble	1	1	HDZ-260-E1	2024-07-12	15	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-262	2024-01-24	yes	Culi	1	1	HDZ-262-E1	2024-07-15	38	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-263	2024-01-09	no	Culi	1	1	HDZ-263-E1	2024-07-15	73	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-264	2024-01-08	yes	Culi	1	1	HDZ-264-E1	2024-07-15	45	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-265	2024-01-23	yes	Warble	1	1	HDZ-265-E1	2024-07-15	59	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-266	2024-01-28	yes	Culi	1	1	HDZ-266-E1	2024-07-15	40	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-267	2024-01-22	yes	Warble	1	1	HDZ-267-E1	2024-07-15	34	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-268	2024-01-08	yes	Warble	1	1	HDZ-268-E1	2024-08-26	50	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6	
HDZ-269	2024-01-14	yes	Culi	1	1	HDZ-269-E1	2024-08-26	1.8	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6	
HDZ-270	2024-01-22	yes	Culi	1	1	HDZ-270-E1	2024-08-26	53	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6	
HDZ-271	2024-01-25	yes	Culi	1	1	HDZ-271-E1	2024-08-26	51	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6	
HDZ-272	2024-01-21	yes	Culi	1	1	HDZ-272-E1	2024-08-26	39	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6	
HDZ-273	2024-01-23	yes	Culi	1	1	HDZ-273-E1	2024-08-26	24	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6	
HDZ-274	2024-01-15	yes	Culi	1	1	HDZ-274-E1	2024-08-26	40	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6	
HDZ-301	2024-02-22	yes	Culi	1	1	HDZ-301-E1	2024-06-14	9.2	SA/EK	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-302	2024-02-25	yes	Warble	1	1	HDZ-302-E1	2024-06-14	18	SA/EK	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-303	2024-02-13	yes	Warble	1	1	HDZ-303-E1	2024-06-14	16	SA/EK	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-304	2024-02-15	yes	Warble	1	1	HDZ-304-E1	2024-06-14	1.3	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-305	2024-02-19	yes	Culi	1	1	HDZ-305-E1	2024-06-14	40	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-306	2024-02-11	yes	Warble	1	1	HDZ-306-E1	2024-06-14	4.3	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-307	2024-02-09	yes	Warble	1	1	HDZ-307-E1	2024-06-18	19	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-308	2024-02-15	yes	Culi	1	1	HDZ-308-E1	2024-06-18	37	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-309	2024-02-29	yes	Warble	1	1	HDZ-309-E1	2024-06-18	49	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-310	2024-02-20	yes	Culi	1	1	HDZ-310-E1	2024-06-18	45	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-311	2024-12-14	yes	Culi	1	1	HDZ-311-E1	2024-06-18	46	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-312	2024-02-14	yes	Warble	1	1	HDZ-312-E1	2024-06-18	33	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-313	2024-02-16	yes	Warble	1	1	HDZ-313-E1	2024-06-20	45	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-314	2024-02-16	yes	Culi	1	1	HDZ-314-E1	2024-06-20	11	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-315	2024-02-10	yes	Warble	1	1	HDZ-315-E1	2024-06-20	39	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-316	2024-03-24	yes	Warble	1	1	HDZ-316-E1	2024-08-08	79	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 5	
HDZ-317	2024-02-13	yes	Culi	1	1	HDZ-317-E1	2024-07-11	11	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-318	2024-02-11	yes	Culi	1	1	HDZ-318-E1	2024-07-11	18	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-319	2024-02-17	yes	Culi	1	1	HDZ-319-E1	2024-07-11	26	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-320	2024-02-21	yes	Culi	1	1	HDZ-320-E1	2024-06-27	88	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-321	2024-03-10	yes	Culi	1	1	HDZ-321-E1	2024-06-27	29	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-322	2024-03-03	yes	Culi	1	1	HDZ-322-E1	2024-06-27	1.2	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-323	2024-01-17	yes	Warble	1	1	HDZ-323-E1	2024-06-28	34	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-324	2024-02-18	yes	Culi	1	1	HDZ-324-E1	2024-06-28	23	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-325	2024-02-22	yes	Warble	1	1	HDZ-325-E1	2024-06-28	37	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-326	2024-02-09	yes	Culi	1	1	HDZ-326-E1	2024-06-28	37	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-327	2024-02-25	yes	Culi	1	1	HDZ-327-E1	2024-06-28	13	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-328	2024-02-24	yes	Culi	1	1	HDZ-328-E1	2024-06-28	34	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-329	2024-02-18	yes	Warble	1	1	HDZ-329-E1	2024-08-28	66	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6	
HDZ-330	2024-02-10	yes	Culi	1	1	HDZ-330-E1	2024-08-28	45	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6	
HDZ-331	2024-02-12	yes	Warble	1	1	HDZ-331-E1	2024-08-28	32	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6	
HDZ-332	2024-02-21	yes	Warble	1	1	HDZ-332-E1	2024-07-12	27	EK	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-333	2024-02-19	yes	Warble	1	1	HDZ-333-E1	2024-07-12	69	EK	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-334	2024-02-24	yes	Warble	1	1	HDZ-334-E1	2024-08-28	37	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6	
HDZ-335	2024-02-20	yes	Warble	1	1	HDZ-335-E1	2024-07-12	28	EK	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-336	2024-02-12	yes	Culi	1	1	HDZ-336-E1	2024-07-11	52	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-337	2024-03-08	yes	Warble	1	1	HDZ-337-E1	2024-07-11	43	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-338	2024-03-10	yes	Warble	1	1	HDZ-338-E1	2024-07-11	69	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-339	2024-03-08	yes	Culi	1	1	HDZ-339-E1	2024-08-09	76	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 5	
HDZ-340	2024-03-18	yes	Warble	1	1	HDZ-340-E1	2024-08-28	35	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6	
HDZ-341	2024-03-20	yes	Culi	1	1	HDZ-341-E1	2024-07-18	57	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-342	2024-03-09	yes	Culi	1	1	HDZ-342-E1	2024-07-18	47	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-343	2024-03-11	yes	Warble	1	1	HDZ-343-E1	2024-07-18	51	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-344	2024-03-09	yes	Warble	1	1	HDZ-344-E1	2024-08-26	28	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6	
HDZ-345	2024-03-13	yes	Culi	1	1	HDZ-345-E1	2024-08-08	69	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 5	
HDZ-346	2024-03-13	yes	Warble	1	1	HDZ-346-E1	2024-08-26	26	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6	
HDZ-347	2024-03-11	yes	Culi	1	1	HDZ-347-E1	2024-08-26	32	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6	
HDZ-348	2024-03-18	yes	Culi	1	1	HDZ-348-E1	2024-08-08	33	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 5	
HDZ-349	2024-03-20	yes	Warble	1	1	HDZ-349-E1	2024-07-19	86	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-350	2024-03-24	yes	Culi	1	1	HDZ-350-E1	2024-07-19	8.4	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-351	2024-04-16	yes	Warble	1	1	HDZ-351-E1	2024-07-10	1.8	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-352	2024-04-16	yes	Culi	1	1	HDZ-352-E1	2024-07-10	22	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-353	2024-04-17	yes	Culi	0	0	HDZ-353-E1	2024-07-10	0.4	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-354	2024-04-19	yes	Culi	1	1	HDZ-354-E1	2024-07-10	34	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-355	2024-04-20	yes	Warble	1	1	HDZ-355-E1	2024-07-22	33	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-356	2024-04-26	yes	Warble	1	1	HDZ-356-E1	2024-07-22	31	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-357	2024-04-14	yes	Culi	1	1	HDZ-357-E1	2024-07-22	13	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-358	2024-04-15	yes	Culi	1	1	HDZ-358-E1	2024-07-22	48	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-359	2024-04-15	yes	Warble	1	1	HDZ-359-E1	2024-07-22	33	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-360	2024-04-22	yes	Warble	1	1	HDZ-360-E1	2024-07-22	48	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-361	2024-04-20	yes	Culi	1	1	HDZ-361-E1	2024-07-22	68	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-362	2024-04-25	yes	Culi	1	1	HDZ-362-E1	2024-08-07	28	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 5	
HDZ-363	2024-04-10	yes	Culi	1	1	HDZ-363-E1	2024-08-07	39	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 5	
HDZ-364	2024-04-12	yes	Culi	1	1	HDZ-364-E1	2024-08-07	73	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 5	
HDZ-365	2024-04-13	yes	Culi	1	1	HDZ-365-E1	2024-08-07	55	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 5	
HDZ-366	2024-04-13	yes	Warble	1	1	HDZ-366-E1	2024-08-07	46	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 5	
HDZ-367	2024-04-19	yes	Warble	1	1	HDZ-367-E1	2024-08-07	47	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 5	
HDZ-368	2024-04-24	yes	Culi	1	1	HDZ-368-E1	2024-08-08	16	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 5	
HDZ-369	2024-04-05	yes	Warble	1	1	HDZ-369-E1	2024-08-08	20	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 5	
HDZ-370	2024-04-04	yes	Culi	1	1	HDZ-370-E1	2024-08-08	55	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 5	
